tmdb_id,genre
2,Drama
3,Drama
393220,Animation
262150,Documentary
262151,Documentary
8,Documentary
13,Drama
262158,Documentary
393232,Music
17,Thriller
393234,Animation
393235,Animation
262165,Drama
393238,Animation
262168,Comedy
262169,Comedy
26,Drama
262173,Drama
393247,Comedy
32,Animation
43696,Drama
262178,Comedy
393257,Drama
393265,Documentary
393267,Documentary
241793,Western
296789,Comedy
55,Drama
262200,Thriller
43700,Comedy
262204,Action
305845,Documentary
131138,Romance
67,Drama
68,Comedy
69,Drama
71,Drama
393289,Documentary
262221,Documentary
79,Drama
393298,Action
131155,Drama
14,Drama
88,Drama
43648,Comedy
92,Documentary
93,Drama
95,Action
97,Action
262244,Documentary
131173,Comedy
102,Drama
393319,Documentary
131176,Comedy
131180,Drama
18,Action
110,Drama
262257,Comedy
116,Drama
262261,Action
262262,Drama
393335,Comedy
120,Action
121,Action
131194,Drama
344801,Science Fiction
124,Drama
126,Drama
128,Animation
262275,Music
132,Documentary
134,Comedy
393351,Romance
262282,Documentary
393355,Horror
262284,Horror
262285,Documentary
144,Drama
145,Drama
436931,Animation
148,Drama
415086,Documentary
131224,Documentary
154,Drama
156,Drama
131229,Western
262304,Comedy
161,Thriller
166,Drama
262312,Music
131242,Comedy
131244,Drama
131246,Music
176,Horror
393395,Drama
262324,Drama
182,Drama
262327,Crime
186,Drama
393403,Comedy
393404,Horror
189,Thriller
191,Drama
393408,Documentary
194,Comedy
393411,Drama
262340,Comedy
197,Drama
131270,Music
199,Action
393419,Comedy
393420,Drama
205,Drama
206,Drama
393423,Action
174798,Comedy
393430,Drama
262359,Action
393432,Thriller
393433,Drama
262362,Drama
393435,Drama
393437,Family
222,Documentary
224,Drama
226,Drama
227,Drama
229,Horror
262375,Animation
262377,Romance
262380,Comedy
240,Drama
262385,Music
131314,Adventure
243,Drama
245,Drama
131318,Drama
262391,Comedy
152959,Animation
252,Family
253,Action
254,Drama
255,Drama
227828,Comedy
393473,Music
258,Drama
131331,Drama
260,Action
265,Drama
268,Action
269,Drama
262414,Drama
393487,Drama
393488,Drama
273,Drama
275,Drama
131349,Drama
278,Drama
279,Drama
280,Action
262425,Drama
393498,Horror
284,Drama
393501,Comedy
131358,Science Fiction
262431,Drama
262433,Romance
291,Documentary
262437,Drama
262439,Music
131368,Comedy
297,Drama
393514,Comedy
393515,Comedy
393517,Drama
302,Thriller
393519,Drama
393521,Drama
306,Comedy
393523,Documentary
309,Drama
262454,Drama
262456,Drama
262457,Comedy
262458,Drama
131387,Adventure
262460,Drama
262461,Animation
319,Action
322,Drama
262467,Drama
326,Action
262475,Action
332,Comedy
262478,Documentary
131407,Comedy
338,Drama
339,Drama
393557,Drama
393558,Documentary
393559,Drama
344,Comedy
262489,Drama
393562,Thriller
65594,Action
393567,Drama
262496,Drama
393569,Comedy
393572,Drama
131433,Romance
393578,Drama
262507,Drama
262508,Comedy
262514,Action
262516,Music
393590,Comedy
377,Horror
378,Comedy
380,Drama
381,Drama
383,Drama
262528,Drama
131457,Drama
387,Drama
131460,Drama
390,Drama
262535,Drama
244414,Action
393613,Comedy
393617,Comedy
262547,Comedy
404,Drama
393621,Documentary
406,Drama
407,Drama
409,Drama
262554,Drama
262555,Romance
131484,Romance
131488,Drama
131489,Action
419,Drama
422,Drama
262567,Documentary
415132,Drama
431,Thriller
131504,Comedy
262577,Comedy
262578,Romance
372728,Drama
73,Drama
262585,Documentary
284063,Comedy
393663,Documentary
262593,Comedy
453,Drama
393672,Documentary
462,Drama
77,Thriller
262608,Drama
465,Drama
466,Mystery
262612,Crime
471,Drama
262617,Drama
393691,Drama
393693,Animation
393695,Comedy
43661,Drama
492,Drama
393710,Documentary
393712,Comedy
497,Drama
262643,Documentary
262645,Drama
508,Drama
262654,Drama
262655,Documentary
262656,Comedy
262657,Comedy
131586,Drama
131589,Animation
393737,Mystery
262672,Drama
262232,Animation
531,Comedy
532,Comedy
533,Comedy
537,Drama
262682,Comedy
539,Drama
540,Action
393762,Documentary
547,Drama
262692,Drama
393765,Drama
552,Drama
393771,Documentary
262700,Comedy
393773,Documentary
558,Action
559,Action
393777,Thriller
562,Action
262707,Drama
262709,Drama
393782,Documentary
262712,Drama
131641,Comedy
393786,Comedy
571,Horror
573,Drama
262718,Family
576,Adventure
262722,Drama
579,Thriller
580,Thriller
262728,Drama
131663,Comedy
262737,Music
393811,Drama
597,Drama
599,Drama
393817,Science Fiction
603,Action
131676,Comedy
605,Action
606,Drama
131679,Drama
393824,Comedy
437008,Drama
393830,Romance
131689,Thriller
618,Drama
622,Thriller
104,Drama
393843,Music
628,Romance
631,Drama
632,Drama
393849,Drama
393851,Drama
393853,Drama
393854,Thriller
393857,Drama
262786,Drama
644,Drama
393863,Drama
648,Drama
649,Drama
651,Drama
653,Horror
393871,Drama
657,Action
658,Action
659,Drama
660,Action
240409,Comedy
664,Drama
665,Drama
666,Drama
262811,Drama
393885,Documentary
672,Family
673,Family
674,Family
299754,Music
677,Documentary
122229,Crime
262825,Science Fiction
393899,Family
686,Drama
688,Drama
131764,Romance
393909,Documentary
393911,Documentary
696,Drama
131770,Drama
262844,Action
262845,Drama
262846,Drama
393919,Drama
262848,Horror
706,Drama
393924,Horror
713,Drama
714,Action
262859,Documentary
131790,Action
262863,Drama
262264,Horror
262870,Drama
131799,Comedy
262872,Drama
393946,War
